person_id,source_person_id,user_id,name,email,phone,skills,text,willingness_eff,willingness_bias,availability,home_location,availability_status
VOL-002-08,VOL-002,vol-sam-uuid-08,Skilled Sam 08,sam+08@test.com,9000000108,plumbing;construction;handpump repair and maintenance;pump maintenance;mechanical systems (pumps/filtration),"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure. Variant 08 helps with reporting, coordination, and resident communication. Based in Riverbend and available for immediately available work.",0.58,0.62,immediately available,Riverbend,available
VOL-002-09,VOL-002,vol-sam-uuid-09,Skilled Sam 09,sam+09@test.com,9000000109,plumbing;construction;handpump repair and maintenance;pump maintenance;pump wiring,"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure. Variant 09 works across village sites with a strong field orientation. Based in Sundarpur and available for generally available work.",0.61,0.64,generally available,Sundarpur,available
VOL-002-10,VOL-002,vol-sam-uuid-10,Skilled Sam 10,sam+10@test.com,9000000110,plumbing;construction;handpump repair and maintenance;pump maintenance;pipe fitting,"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure. Variant 10 covers follow-up visits, documentation, and on-ground support. Based in Nirmalgaon and available for rarely available work.",0.64,0.66,rarely available,Nirmalgaon,busy
VOL-002-11,VOL-002,vol-sam-uuid-11,Skilled Sam 11,sam+11@test.com,9000000111,plumbing;construction;handpump repair and maintenance;pump maintenance;mechanical systems (pumps/filtration),"Repairs handpumps, handles plumbing maintenance, and supports small construction fixes for public water infrastructure. Variant 11 coordinates practical field work and supports the local team. Based in Lakshmipur and available for immediately available work.",0.67,0.68,immediately available,Lakshmipur,available
VOL-003,VOL-003,vol-alice-uuid,Electrician Alice,alice@test.com,3456789012,electrical work;pump wiring;safety checks;field maintenance,"Handles electrical repairs, pump wiring, and field safety checks for village repair works.",0.84,0.61,generally available,Devnagar,available
VOL-003-01,VOL-003,vol-alice-uuid-01,Electrician Alice 01,alice+01@test.com,9000000201,electrical work;pump wiring;safety checks;field maintenance;rural electrification safety and earthing,"Handles electrical repairs, pump wiring, and field safety checks for village repair works. Variant 01 coordinates practical field work and supports the local team. Based in Devnagar and available for immediately available work.",0.75,0.53,immediately available,Devnagar,available
VOL-003-02,VOL-003,vol-alice-uuid-02,Electrician Alice 02,alice+02@test.com,9000000202,electrical work;pump wiring;safety checks;field maintenance,"Handles electrical repairs, pump wiring, and field safety checks for village repair works. Variant 02 focuses on rapid response and reliable handover. Based in Riverbend and available for generally available work.",0.78,0.55,generally available,Riverbend,available
VOL-003-03,VOL-003,vol-alice-uuid-03,Electrician Alice 03,alice+03@test.com,9000000203,electrical work;pump wiring;safety checks;field maintenance;street lighting installation and maintenance,"Handles electrical repairs, pump wiring, and field safety checks for village repair works. Variant 03 helps with reporting, coordination, and resident communication. Based in Sundarpur and available for rarely available work.",0.81,0.57,rarely available,Sundarpur,busy
VOL-003-04,VOL-003,vol-alice-uuid-04,Electrician Alice 04,alice+04@test.com,9000000204,electrical work;pump wiring;safety checks;field maintenance;rural electrification safety and earthing,"Handles electrical repairs, pump wiring, and field safety checks for village repair works. Variant 04 works across village sites with a strong field orientation. Based in Nirmalgaon and available for immediately available work.",0.84,0.59,immediately available,Nirmalgaon,available
VOL-003-05,VOL-003,vol-alice-uuid-05,Electrician Alice 05,alice+05@test.com,9000000205,electrical work;pump wiring;safety checks;field maintenance,"Handles electrical repairs, pump wiring, and field safety checks for village repair works. Variant 05 covers follow-up visits, documentation, and on-ground support. Based in Lakshmipur and available for generally available work.",0.87,0.61,generally available,Lakshmipur,available
VOL-003-06,VOL-003,vol-alice-uuid-06,Electrician Alice 06,alice+06@test.com,9000000206,electrical work;pump wiring;safety checks;field maintenance;street lighting installation and maintenance,"Handles electrical repairs, pump wiring, and field safety checks for village repair works. Variant 06 coordinates practical field work and supports the local team. Based in Devnagar and available for rarely available work.",0.59,0.63,rarely available,Devnagar,busy
VOL-003-07,VOL-003,vol-alice-uuid-07,Electrician Alice 07,alice+07@test.com,9000000207,electrical work;pump wiring;safety checks;field maintenance;rural electrification safety and earthing,"Handles electrical repairs, pump wiring, and field safety checks for village repair works. Variant 07 focuses on rapid response and reliable handover. Based in Riverbend and available for immediately available work.",0.62,0.65,immediately available,Riverbend,available
VOL-003-08,VOL-003,vol-alice-uuid-08,Electrician Alice 08,alice+08@test.com,9000000208,electrical work;pump wiring;safety checks;field maintenance,"Handles electrical repairs, pump wiring, and field safety checks for village repair works. Variant 08 helps with reporting, coordination, and resident communication. Based in Sundarpur and available for generally available work.",0.65,0.67,generally available,Sundarpur,available
VOL-003-09,VOL-003,vol-alice-uuid-09,Electrician Alice 09,alice+09@test.com,9000000209,electrical work;pump wiring;safety checks;field maintenance;street lighting installation and maintenance,"Handles electrical repairs, pump wiring, and field safety checks for village repair works. Variant 09 works across village sites with a strong field orientation. Based in Nirmalgaon and available for rarely available work.",0.68,0.69,rarely available,Nirmalgaon,busy
VOL-003-10,VOL-003,vol-alice-uuid-10,Electrician Alice 10,alice+10@test.com,9000000210,electrical work;pump wiring;safety checks;field maintenance;rural electrification safety and earthing,"Handles electrical repairs, pump wiring, and field safety checks for village repair works. Variant 10 covers follow-up visits, documentation, and on-ground support. Based in Lakshmipur and available for immediately available work.",0.71,0.42,immediately available,Lakshmipur,available
VOL-003-11,VOL-003,vol-alice-uuid-11,Electrician Alice 11,alice+11@test.com,9000000211,electrical work;pump wiring;safety checks;field maintenance,"Handles electrical repairs, pump wiring, and field safety checks for village repair works. Variant 11 coordinates practical field work and supports the local team. Based in Devnagar and available for generally available work.",0.74,0.44,generally available,Devnagar,available
VOL-004,VOL-004,vol-farida-uuid,Farida Khan,farida@test.com,4567890123,healthcare;public health outreach;community mobilization;awareness campaigns,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs.",0.78,0.58,generally available,Lakshmipur,available
VOL-004-01,VOL-004,vol-farida-uuid-01,Farida Khan 01,farida+01@test.com,9000000301,healthcare;public health outreach;community mobilization;awareness campaigns;community outreach,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs. Variant 01 coordinates practical field work and supports the local team. Based in Riverbend and available for generally available work.",0.82,0.58,generally available,Riverbend,available
VOL-004-02,VOL-004,vol-farida-uuid-02,Farida Khan 02,farida+02@test.com,9000000302,healthcare;public health outreach;community mobilization;awareness campaigns,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs. Variant 02 focuses on rapid response and reliable handover. Based in Sundarpur and available for rarely available work.",0.85,0.6,rarely available,Sundarpur,busy
VOL-004-03,VOL-004,vol-farida-uuid-03,Farida Khan 03,farida+03@test.com,9000000303,healthcare;public health outreach;community mobilization;awareness campaigns;risk communication and community engagement,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs. Variant 03 helps with reporting, coordination, and resident communication. Based in Nirmalgaon and available for immediately available work.",0.88,0.62,immediately available,Nirmalgaon,available
VOL-004-04,VOL-004,vol-farida-uuid-04,Farida Khan 04,farida+04@test.com,9000000304,healthcare;public health outreach;community mobilization;awareness campaigns;community outreach,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs. Variant 04 works across village sites with a strong field orientation. Based in Lakshmipur and available for generally available work.",0.6,0.64,generally available,Lakshmipur,available
VOL-004-05,VOL-004,vol-farida-uuid-05,Farida Khan 05,farida+05@test.com,9000000305,healthcare;public health outreach;community mobilization;awareness campaigns,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs. Variant 05 covers follow-up visits, documentation, and on-ground support. Based in Devnagar and available for rarely available work.",0.63,0.66,rarely available,Devnagar,busy
VOL-004-06,VOL-004,vol-farida-uuid-06,Farida Khan 06,farida+06@test.com,9000000306,healthcare;public health outreach;community mobilization;awareness campaigns;risk communication and community engagement,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs. Variant 06 coordinates practical field work and supports the local team. Based in Riverbend and available for immediately available work.",0.66,0.68,immediately available,Riverbend,available
VOL-004-07,VOL-004,vol-farida-uuid-07,Farida Khan 07,farida+07@test.com,9000000307,healthcare;public health outreach;community mobilization;awareness campaigns;community outreach,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs. Variant 07 focuses on rapid response and reliable handover. Based in Sundarpur and available for generally available work.",0.69,0.41,generally available,Sundarpur,available
VOL-004-08,VOL-004,vol-farida-uuid-08,Farida Khan 08,farida+08@test.com,9000000308,healthcare;public health outreach;community mobilization;awareness campaigns,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs. Variant 08 helps with reporting, coordination, and resident communication. Based in Nirmalgaon and available for rarely available work.",0.72,0.43,rarely available,Nirmalgaon,busy
VOL-004-09,VOL-004,vol-farida-uuid-09,Farida Khan 09,farida+09@test.com,9000000309,healthcare;public health outreach;community mobilization;awareness campaigns;risk communication and community engagement,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs. Variant 09 works across village sites with a strong field orientation. Based in Lakshmipur and available for immediately available work.",0.75,0.45,immediately available,Lakshmipur,available
VOL-004-10,VOL-004,vol-farida-uuid-10,Farida Khan 10,farida+10@test.com,9000000310,healthcare;public health outreach;community mobilization;awareness campaigns;community outreach,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs. Variant 10 covers follow-up visits, documentation, and on-ground support. Based in Devnagar and available for generally available work.",0.78,0.47,generally available,Devnagar,available
VOL-004-11,VOL-004,vol-farida-uuid-11,Farida Khan 11,farida+11@test.com,9000000311,healthcare;public health outreach;community mobilization;awareness campaigns,"Supports public health outreach, awareness campaigns, and community mobilization for urgent village needs. Variant 11 coordinates practical field work and supports the local team. Based in Riverbend and available for rarely available work.",0.81,0.49,rarely available,Riverbend,busy
VOL-005,VOL-005,vol-mohan-uuid,Mohan Verma,mohan@test.com,5678901234,water quality assessment;sanitation issue mapping;sample collection;reporting,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting.",0.87,0.66,immediately available,Riverbend,available
VOL-005-01,VOL-005,vol-mohan-uuid-01,Mohan Verma 01,mohan+01@test.com,9000000401,water quality assessment;sanitation issue mapping;sample collection;reporting;drinking water source protection,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting. Variant 01 coordinates practical field work and supports the local team. Based in Sundarpur and available for rarely available work.",0.58,0.63,rarely available,Sundarpur,busy
VOL-005-02,VOL-005,vol-mohan-uuid-02,Mohan Verma 02,mohan+02@test.com,9000000402,water quality assessment;sanitation issue mapping;sample collection;reporting,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting. Variant 02 focuses on rapid response and reliable handover. Based in Nirmalgaon and available for immediately available work.",0.61,0.65,immediately available,Nirmalgaon,available
VOL-005-03,VOL-005,vol-mohan-uuid-03,Mohan Verma 03,mohan+03@test.com,9000000403,water quality assessment;sanitation issue mapping;sample collection;reporting;sanitation drives,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting. Variant 03 helps with reporting, coordination, and resident communication. Based in Lakshmipur and available for generally available work.",0.64,0.67,generally available,Lakshmipur,available
VOL-005-04,VOL-005,vol-mohan-uuid-04,Mohan Verma 04,mohan+04@test.com,9000000404,water quality assessment;sanitation issue mapping;sample collection;reporting;drinking water source protection,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting. Variant 04 works across village sites with a strong field orientation. Based in Devnagar and available for rarely available work.",0.67,0.69,rarely available,Devnagar,busy
VOL-005-05,VOL-005,vol-mohan-uuid-05,Mohan Verma 05,mohan+05@test.com,9000000405,water quality assessment;sanitation issue mapping;sample collection;reporting,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting. Variant 05 covers follow-up visits, documentation, and on-ground support. Based in Riverbend and available for immediately available work.",0.7,0.42,immediately available,Riverbend,available
VOL-005-06,VOL-005,vol-mohan-uuid-06,Mohan Verma 06,mohan+06@test.com,9000000406,water quality assessment;sanitation issue mapping;sample collection;reporting;sanitation drives,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting. Variant 06 coordinates practical field work and supports the local team. Based in Sundarpur and available for generally available work.",0.73,0.44,generally available,Sundarpur,available
VOL-005-07,VOL-005,vol-mohan-uuid-07,Mohan Verma 07,mohan+07@test.com,9000000407,water quality assessment;sanitation issue mapping;sample collection;reporting;drinking water source protection,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting. Variant 07 focuses on rapid response and reliable handover. Based in Nirmalgaon and available for rarely available work.",0.76,0.46,rarely available,Nirmalgaon,busy
VOL-005-08,VOL-005,vol-mohan-uuid-08,Mohan Verma 08,mohan+08@test.com,9000000408,water quality assessment;sanitation issue mapping;sample collection;reporting,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting. Variant 08 helps with reporting, coordination, and resident communication. Based in Lakshmipur and available for immediately available work.",0.79,0.48,immediately available,Lakshmipur,available
VOL-005-09,VOL-005,vol-mohan-uuid-09,Mohan Verma 09,mohan+09@test.com,9000000409,water quality assessment;sanitation issue mapping;sample collection;reporting;sanitation drives,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting. Variant 09 works across village sites with a strong field orientation. Based in Devnagar and available for generally available work.",0.82,0.5,generally available,Devnagar,available
VOL-005-10,VOL-005,vol-mohan-uuid-10,Mohan Verma 10,mohan+10@test.com,9000000410,water quality assessment;sanitation issue mapping;sample collection;reporting;drinking water source protection,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting. Variant 10 covers follow-up visits, documentation, and on-ground support. Based in Riverbend and available for rarely available work.",0.85,0.52,rarely available,Riverbend,busy
VOL-005-11,VOL-005,vol-mohan-uuid-11,Mohan Verma 11,mohan+11@test.com,9000000411,water quality assessment;sanitation issue mapping;sample collection;reporting,"Performs water quality assessment, sanitation issue mapping, sample collection, and field reporting. Variant 11 coordinates practical field work and supports the local team. Based in Sundarpur and available for immediately available work.",0.88,0.54,immediately available,Sundarpur,available
VOL-006,VOL-006,vol-reena-uuid,Reena Das,reena@test.com,6789012345,gis and remote sensing;data analysis and reporting;mapping;survey design,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks.",0.83,0.63,generally available,Nirmalgaon,available
VOL-006-01,VOL-006,vol-reena-uuid-01,Reena Das 01,reena+01@test.com,9000000501,gis and remote sensing;data analysis and reporting;mapping;survey design,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks. Variant 01 coordinates practical field work and supports the local team. Based in Nirmalgaon and available for immediately available work.",0.65,0.68,immediately available,Nirmalgaon,available
VOL-006-02,VOL-006,vol-reena-uuid-02,Reena Das 02,reena+02@test.com,9000000502,gis and remote sensing;data analysis and reporting;mapping;survey design;asset mapping and village information systems,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks. Variant 02 focuses on rapid response and reliable handover. Based in Lakshmipur and available for generally available work.",0.68,0.41,generally available,Lakshmipur,available
VOL-006-03,VOL-006,vol-reena-uuid-03,Reena Das 03,reena+03@test.com,9000000503,gis and remote sensing;data analysis and reporting;mapping;survey design,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks. Variant 03 helps with reporting, coordination, and resident communication. Based in Devnagar and available for rarely available work.",0.71,0.43,rarely available,Devnagar,busy
VOL-006-04,VOL-006,vol-reena-uuid-04,Reena Das 04,reena+04@test.com,9000000504,gis and remote sensing;data analysis and reporting;mapping;survey design,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks. Variant 04 works across village sites with a strong field orientation. Based in Riverbend and available for immediately available work.",0.74,0.45,immediately available,Riverbend,available
VOL-006-05,VOL-006,vol-reena-uuid-05,Reena Das 05,reena+05@test.com,9000000505,gis and remote sensing;data analysis and reporting;mapping;survey design;asset mapping and village information systems,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks. Variant 05 covers follow-up visits, documentation, and on-ground support. Based in Sundarpur and available for generally available work.",0.77,0.47,generally available,Sundarpur,available
VOL-006-06,VOL-006,vol-reena-uuid-06,Reena Das 06,reena+06@test.com,9000000506,gis and remote sensing;data analysis and reporting;mapping;survey design,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks. Variant 06 coordinates practical field work and supports the local team. Based in Nirmalgaon and available for rarely available work.",0.8,0.49,rarely available,Nirmalgaon,busy
VOL-006-07,VOL-006,vol-reena-uuid-07,Reena Das 07,reena+07@test.com,9000000507,gis and remote sensing;data analysis and reporting;mapping;survey design,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks. Variant 07 focuses on rapid response and reliable handover. Based in Lakshmipur and available for immediately available work.",0.83,0.51,immediately available,Lakshmipur,available
VOL-006-08,VOL-006,vol-reena-uuid-08,Reena Das 08,reena+08@test.com,9000000508,gis and remote sensing;data analysis and reporting;mapping;survey design;asset mapping and village information systems,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks. Variant 08 helps with reporting, coordination, and resident communication. Based in Devnagar and available for generally available work.",0.86,0.53,generally available,Devnagar,available
VOL-006-09,VOL-006,vol-reena-uuid-09,Reena Das 09,reena+09@test.com,9000000509,gis and remote sensing;data analysis and reporting;mapping;survey design,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks. Variant 09 works across village sites with a strong field orientation. Based in Riverbend and available for rarely available work.",0.58,0.55,rarely available,Riverbend,busy
VOL-006-10,VOL-006,vol-reena-uuid-10,Reena Das 10,reena+10@test.com,9000000510,gis and remote sensing;data analysis and reporting;mapping;survey design,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks. Variant 10 covers follow-up visits, documentation, and on-ground support. Based in Sundarpur and available for immediately available work.",0.61,0.57,immediately available,Sundarpur,available
VOL-006-11,VOL-006,vol-reena-uuid-11,Reena Das 11,reena+11@test.com,9000000511,gis and remote sensing;data analysis and reporting;mapping;survey design;asset mapping and village information systems,"Uses GIS, mapping, and data analysis for field surveys, reporting, and civic planning tasks. Variant 11 coordinates practical field work and supports the local team. Based in Nirmalgaon and available for generally available work.",0.64,0.59,generally available,Nirmalgaon,available
VOL-007,VOL-007,vol-kavya-uuid,Kavya Patel,kavya@test.com,7890123456,road repair;masonry;culvert repair;drainage design and de-silting,"Handles drainage repair, masonry, culvert repair, and road patching for civic works.",0.74,0.54,generally available,Devnagar,available
VOL-007-01,VOL-007,vol-kavya-uuid-01,Kavya Patel 01,kavya+01@test.com,9000000601,road repair;masonry;culvert repair;drainage design and de-silting;rural road maintenance and culvert repair,"Handles drainage repair, masonry, culvert repair, and road patching for civic works. Variant 01 coordinates practical field work and supports the local team. Based in Lakshmipur and available for generally available work.",0.72,0.44,generally available,Lakshmipur,available
VOL-007-02,VOL-007,vol-kavya-uuid-02,Kavya Patel 02,kavya+02@test.com,9000000602,road repair;masonry;culvert repair;drainage design and de-silting,"Handles drainage repair, masonry, culvert repair, and road patching for civic works. Variant 02 focuses on rapid response and reliable handover. Based in Devnagar and available for rarely available work.",0.75,0.46,rarely available,Devnagar,busy
VOL-007-03,VOL-007,vol-kavya-uuid-03,Kavya Patel 03,kavya+03@test.com,9000000603,road repair;masonry;culvert repair;drainage design and de-silting;culvert and causeway design,"Handles drainage repair, masonry, culvert repair, and road patching for civic works. Variant 03 helps with reporting, coordination, and resident communication. Based in Riverbend and available for immediately available work.",0.78,0.48,immediately available,Riverbend,available
VOL-007-04,VOL-007,vol-kavya-uuid-04,Kavya Patel 04,kavya+04@test.com,9000000604,road repair;masonry;culvert repair;drainage design and de-silting;rural road maintenance and culvert repair,"Handles drainage repair, masonry, culvert repair, and road patching for civic works. Variant 04 works across village sites with a strong field orientation. Based in Sundarpur and available for generally available work.",0.81,0.5,generally available,Sundarpur,available
VOL-007-05,VOL-007,vol-kavya-uuid-05,Kavya Patel 05,kavya+05@test.com,9000000605,road repair;masonry;culvert repair;drainage design and de-silting,"Handles drainage repair, masonry, culvert repair, and road patching for civic works. Variant 05 covers follow-up visits, documentation, and on-ground support. Based in Nirmalgaon and available for rarely available work.",0.84,0.52,rarely available,Nirmalgaon,busy
VOL-007-06,VOL-007,vol-kavya-uuid-06,Kavya Patel 06,kavya+06@test.com,9000000606,road repair;masonry;culvert repair;drainage design and de-silting;culvert and causeway design,"Handles drainage repair, masonry, culvert repair, and road patching for civic works. Variant 06 coordinates practical field work and supports the local team. Based in Lakshmipur and available for immediately available work.",0.87,0.54,immediately available,Lakshmipur,available
VOL-007-07,VOL-007,vol-kavya-uuid-07,Kavya Patel 07,kavya+07@test.com,9000000607,road repair;masonry;culvert repair;drainage design and de-silting;rural road maintenance and culvert repair,"Handles drainage repair, masonry, culvert repair, and road patching for civic works. Variant 07 focuses on rapid response and reliable handover. Based in Devnagar and available for generally available work.",0.59,0.56,generally available,Devnagar,available
